concept,pred_count,pred_pct,avg_confidence,n_countries,most_common_parent
Pirin trekker,1,0.03178639542275906,0.07618707418441772,1,landscape_alpine
Sliven white cross,1,0.03178639542275906,0.029998572543263435,1,statue
Vegetation - Maritime Pine Forest,1,0.03178639542275906,0.12276162207126617,1,vegetation_trees
Landscape - Erzincan Plain,1,0.03178639542275906,0.07089350372552872,1,vegetation_vineyard
Sierra Nevada,1,0.03178639542275906,0.05887916684150696,1,vegetation_forest_arid
Yellow bands,1,0.03178639542275906,0.08638838678598404,1,pole_marker
Sandy roadsides,1,0.03178639542275906,0.13385722041130066,1,road_dirt
Lillehammer and Oppdal,1,0.03178639542275906,0.15549518167972565,1,vegetation_forest_boreal
Karelia and Murmansk rocks,1,0.03178639542275906,0.050462547689676285,1,car_meta
Douglas firs,1,0.03178639542275906,0.042888298630714417,1,vegetation_forest_temperate
Murmansk landscape,1,0.03178639542275906,0.07147552073001862,1,landscape_arctic
Weak-looking boreal trees,1,0.03178639542275906,0.08784233778715134,1,vegetation_forest_boreal
Front Plates on Motorcycles,1,0.03178639542275906,0.10577365010976791,1,Concepcin City Proper
Okinawa Transformers,1,0.03178639542275906,0.08870599418878555,1,infrastructure_industrial
South Coast,1,0.03178639542275906,0.11106865853071213,1,road_dashed
Five Stripe Finland,1,0.03178639542275906,0.2555590569972992,1,people_seastars
La Libertad Landscape,1,0.03178639542275906,0.09396763145923615,1,landscape_mountains_arid
"Denmark, Norway, Faroe Islands Shared Latin Letters",1,0.03178639542275906,0.14424455165863037,1,script_latin
French infrastructure,1,0.03178639542275906,0.048161908984184265,1,bollard_design
Blue-Corners Italy,1,0.03178639542275906,0.03955047205090523,1,script_european
Bus design,1,0.03178639542275906,0.0453498512506485,1,car_type
Cajamarca Town,1,0.03178639542275906,0.13409291207790375,1,building_facade
Extra Height Turkey,1,0.03178639542275906,0.04652378708124161,1,script_greek
Turkey,1,0.03178639542275906,0.05776868388056755,1,script_greek
North Macedonia Unique Cyrillic Letters,1,0.03178639542275906,0.15587465465068817,1,script_cyrillic
Landscape - Flat Forest,1,0.03178639542275906,0.11862765997648239,1,landscape_hills_tropical
Amazon,1,0.03178639542275906,0.18040625751018524,1,landscape_hills_tropical
Holey Poles,1,0.03178639542275906,0.08326739072799683,1,pole_shape
Brandenburg Post,1,0.03178639542275906,0.06281518191099167,1,bollard_shape
Mexico,1,0.03178639542275906,0.1417103409767151,1,script_latin
Fir Trees,1,0.03178639542275906,0.13546930253505707,1,vegetation_forest_temperate
Blue Myrtle Cacti,1,0.03178639542275906,0.040226761251688004,1,vegetation_cacti
Yellow lamp,1,0.03178639542275906,0.028204455971717834,1,infrastructure_industrial
Peru Copyright 2024,1,0.03178639542275906,0.12003757804632187,1,camera_meta
Ancash Gen 4 Landscape,1,0.03178639542275906,0.06177450343966484,1,landscape_mountains_tropical
Painted Poles,1,0.03178639542275906,0.05997558683156967,1,bollard_design
SA flat sign posts,1,0.03178639542275906,0.04054616764187813,1,landscape_hills_temperate
Lake Victoria-SA Border,1,0.03178639542275906,0.06065338850021362,1,vegetation_bush
License plate,1,0.03178639542275906,0.037446290254592896,1,car_meta
Infrastructure - Yellow Tuk Tuk / Black Roof,1,0.03178639542275906,0.23263196647167206,1,car_type
Las Palmas Bollard,1,0.03178639542275906,0.08657651394605637,1,script_catalan
June/July | No Car (No Antenna),1,0.03178639542275906,0.06087663769721985,1,vegetation_floral
Brick houses,1,0.03178639542275906,0.09844303131103516,1,building_facade
New Forest landscape,1,0.03178639542275906,0.17538367211818695,1,Chilo Island
West Mannheim Architecture,1,0.03178639542275906,0.0849800705909729,1,building_facade
Soybeans,1,0.03178639542275906,0.07606230676174164,1,vegetation_crops
Road marker,1,0.03178639542275906,0.02770117111504078,1,road_dashed
Fruit orchards,1,0.03178639542275906,0.09338114410638809,1,vegetation_fruit
Cologne Lamppost Markings,1,0.03178639542275906,0.22419872879981995,1,pole_marker
Commie blocks,1,0.03178639542275906,0.10595303028821945,1,building_facade
Tall hills - Darker soil,1,0.03178639542275906,0.03230495750904083,1,landscape_hills_temperate
Vic pole top,1,0.03178639542275906,0.07735183835029602,1,Chilo Island
